"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","Tot.logged.hours","Avg.logged.hours","Tot.leaves.taken","Tot.excess.logged","Avg.excess.logged"
"21",21,26,"No","Travel_Frequently","Research & Development",1,4,"Other",1,"Male",2,"Laboratory Technician","Divorced",104470,1,"Y",18,8,0,6,3,6,1,4,3,2,1,3,3,1760.5,7.59,17,95.5,0.41
"22",22,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences",1,"Male",1,"Research Scientist","Divorced",96670,3,"Y",23,8,0,28,2,10,1,6,1,2,2,2,4,1399.4,6.01,16,464.6,1.99
"23",23,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences",1,"Female",2,"Research Scientist","Married",21480,3,"Y",11,8,0,21,2,5,1,3,3,3,2,3,3,1949.8,8.4,17,93.8,0.4
"24",24,42,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Married",89260,1,"Y",14,8,0,11.2799363780959,4,20,11,6,2,3,3,1,3,1647.6,6.81,7,288.4,1.19
"25",25,29,"No","Travel_Frequently","Research & Development",16,4,"Medical",1,"Male",1,"Laboratory Technician","Single",65130,1,"Y",11,8,1,10,2,10,0,9,2,4,2,3,3,1637.9,7.09,18,210.1,0.91
"26",26,55,"No","Travel_Rarely","Research & Development",1,4,"Other",1,"Female",1,"Research Scientist","Married",67990,3,"Y",11,8,0,12,2,10,0,8,2,4,3,3,3,2256.6,9.36,8,328.6,1.36
"27",27,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Female",1,"Manager","Married",162910,1,"Y",22,8,0,5,3,5,3,3,1,1,3,3,4,2623.4,10.98,10,711.4,2.98
"28",28,37,"No","Travel_Rarely","Sales",5,1,"Marketing",1,"Male",1,"Research Scientist","Single",27050,1,"Y",11,8,0,17,2,17,5,7,4,4,3,3,3,1794.6,7.6,13,93.4,0.4
"29",29,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",1,"Male",2,"Research Scientist","Divorced",103330,3,"Y",14,8,1,19,2,1,0,0,4,3,1,2,3,2666.9,10.97,6,722.9,2.97
"30",30,38,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Female",1,"Manager","Divorced",44480,9,"Y",12,8,0,10,3,2,1,2,4,4,3,2,3,1571,6.83,19,269,1.17
"31",31,26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical",1,"Male",3,"Research Scientist","Divorced",68540,2,"Y",11,8,0,5,5,3,0,2,1,2,3,2,3,2406.2,10.11,11,502.2,2.11
"32",32,28,"No","Travel_Rarely","Research & Development",7,3,"Other",1,"Male",1,"Human Resources","Single",96370,1,"Y",13,8,0,5,6,5,0,2,4,4,3,2,3,1623.4,6.71,7,312.6,1.29
"33",33,49,"No","Travel_Frequently","Research & Development",1,1,"Medical",1,"Female",2,"Research Scientist","Single",35910,9,"Y",13,8,0,22,2,3,1,2,3,1,3,3,3,2460.9,10.52,15,588.9,2.52
"34",34,36,"No","Travel_Rarely","Sales",5,3,"Technical Degree",1,"Male",3,"Sales Executive","Single",54050,4,"Y",14,8,0,10,2,8,7,7,3,2,3,3,3,1502.3,6.18,6,441.7,1.82
"35",35,31,"No","Travel_Frequently","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Divorced",46840,1,"Y",16,8,1,2,4,2,2,2,4,2,2,3,3,1581.3,6.59,9,338.7,1.41
"36",36,26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Male",2,"Manager","Single",157870,1,"Y",12,8,2,8,5,8,7,4,4,4,3,3,3,2383.5,10.27,17,527.5,2.27
"37",37,37,"No","Travel_Frequently","Sales",9,1,"Marketing",1,"Male",1,"Laboratory Technician","Married",15140,1,"Y",14,8,0,4,3,4,1,2,2,4,2,3,3,2415.1,9.98,7,479.1,1.98
"38",38,42,"No","Travel_Frequently","Sales",2,2,"Marketing",1,"Male",3,"Research Director","Married",29560,5,"Y",13,8,0,23,2,20,4,8,3,2,4,3,3,1374.8,5.98,19,465.2,2.02
"39",39,18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Single",23350,1,"Y",14,8,2,0,3,0,0,0,3,3,3,2,3,1537.9,6.77,22,278.1,1.23
"40",40,35,"No","Travel_Rarely","Sales",20,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Married",51540,0,"Y",19,8,0,12,2,11,6,9,3,2,2,2,3,1837.6,7.69,10,74.4,0.31
"41",41,36,"No","Travel_Frequently","Research & Development",8,3,"Other",1,"Female",3,"Sales Executive","Married",69620,4,"Y",12,8,2,4,2,1,0,0,3,3,3,2,3,1758.1,7.21,5,193.9,0.79
"42",42,51,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",1,"Male",2,"Laboratory Technician","Divorced",56750,5,"Y",13,8,0,13,2,4,1,2,4,2,3,2,3,1784.3,7.59,14,95.7,0.41
"43",43,41,"No","Travel_Rarely","Research & Development",29,1,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",23790,1,"Y",12,8,0,22,6,22,0,4,4,2,3,3,3,1682.9,6.95,7,253.1,1.05
"44",44,18,"No","Travel_Rarely","Sales",7,3,"Life Sciences",1,"Male",1,"Research Scientist","Single",38120,1,"Y",15,8,0,0,3,0,0,0,4,3,3,3,3,1682,7.01,9,238,0.99
"45",45,28,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Male",1,"Sales Representative","Single",46480,0,"Y",23,8,2,9,2,8,0,7,2,1,3,2,4,1757.3,7.2,5,194.7,0.8
"46",46,31,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree",1,"Male",1,"Manufacturing Director","Married",29360,4,"Y",12,8,1,10,2,8,7,7,2,4,2,3,3,1722,7.17,9,198,0.82
"47",47,39,"No","Travel_Rarely","Sales",5,4,"Marketing",1,"Female",2,"Human Resources","Divorced",21050,0,"Y",20,8,0,19,3,18,3,7,3,4,2,3,4,1794.5,7.64,14,85.5,0.36
"48",48,36,"No","Non-Travel","Research & Development",5,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",85780,7,"Y",21,8,0,11,4,9,0,8,2,2,3,3,4,1856.6,7.83,12,39.4,0.17
"49",49,32,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Male",2,"Laboratory Technician","Married",27060,1,"Y",21,8,1,13,4,13,4,8,4,3,2,3,4,1583.9,6.98,22,232.1,1.02
"50",50,38,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",1,"Female",3,"Research Scientist","Married",63840,3,"Y",19,8,2,19,4,10,0,1,1,2,3,2,3,1574.9,6.91,21,249.1,1.09
"51",51,58,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",2,"Manufacturing Director","Divorced",39680,2,"Y",13,8,2,12,3,5,1,2,4,3,3,2,3,2637.5,10.9,7,701.5,2.9
"52",52,31,"No","Travel_Rarely","Research & Development",20,1,"Technical Degree",1,"Female",3,"Research Scientist","Married",99070,0,"Y",13,8,1,6,3,5,0,3,3,4,3,2,3,2162.9,9.13,12,266.9,1.13
"53",53,31,"No","Travel_Rarely","Sales",7,4,"Marketing",1,"Male",2,"Sales Executive","Married",132250,3,"Y",21,8,1,9,2,2,1,0,1,1,3,3,4,1632.8,6.83,10,279.2,1.17
"54",54,45,"No","Travel_Frequently","Research & Development",3,1,"Medical",1,"Female",1,"Sales Executive","Divorced",35400,1,"Y",13,8,0,24,6,24,9,11,1,1,3,3,3,1725.7,7.31,13,162.3,0.69
"55",55,31,"No","Travel_Rarely","Sales",16,4,"Marketing",1,"Female",2,"Research Scientist","Divorced",28040,0,"Y",19,8,2,3,0,2,2,2,3,4,1,3,3,2101.3,8.61,5,149.3,0.61
"56",56,33,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Male",4,"Research Director","Married",193920,6,"Y",12,8,1,12,3,10,8,8,4,2,3,3,3,1607.9,6.78,12,288.1,1.22
"57",57,39,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",196650,1,"Y",22,8,1,21,6,21,11,10,3,1,3,3,4,2691.5,10.99,4,731.5,2.99
"58",58,43,"No","Travel_Frequently","Research & Development",7,4,"Medical",1,"Male",4,"Research Scientist","Single",24390,0,"Y",15,8,0,9,2,8,1,7,3,4,3,3,3,1745.4,7.69,22,70.6,0.31
"59",59,49,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Manufacturing Director","Single",73140,7,"Y",22,8,0,25,2,7,0,7,3,3,3,3,4,2417.8,9.95,6,473.8,1.95
"60",60,52,"Yes","Travel_Rarely","Research & Development",7,1,"Life Sciences",1,"Female",2,"Research Scientist","Married",47740,2,"Y",18,8,1,11,2,8,7,7,3,2,2,3,3,1888.9,7.9,10,23.1,0.1
"61",61,27,"No","Travel_Rarely","Research & Development",15,4,"Medical",1,"Male",3,"Research Scientist","Single",39020,1,"Y",22,8,0,4,2,4,1,2,3,2,2,3,4,2604.5,10.67,5,652.5,2.67
"62",62,32,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Research Scientist","Married",26620,1,"Y",11,8,1,13,6,13,11,9,3,2,3,4,3,2507.9,10.49,10,595.9,2.49
"63",63,27,"No","Travel_Rarely","Research & Development",13,2,"Medical",1,"Female",4,"Research Director","Single",28560,1,"Y",12,8,2,5,5,5,0,4,4,3,3,4,3,2326.1,10.07,18,478.1,2.07
"64",64,31,"No","Travel_Rarely","Sales",24,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",10810,4,"Y",11,8,3,13,4,7,1,7,4,4,3,4,3,1605.8,6.61,6,338.2,1.39
"65",65,32,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",1,"Male",2,"Healthcare Representative","Single",24720,7,"Y",13,8,0,10,2,7,0,7,1,4,2,3,3,1777.4,7.5,12,118.6,0.5
"66",66,28,"Yes","Travel_Rarely","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Married",56730,5,"Y",14,8,1,5,4,3,2,2,1,4,2,2,3,2648.6,10.72,2,672.6,2.72
"67",67,30,"No","Travel_Rarely","Research & Development",13,3,"Life Sciences",1,"Female",4,"Research Director","Married",41970,1,"Y",13,8,0,11,3,10,1,9,4,4,3,3,3,1435,6.19,17,421,1.81
"68",68,31,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",1,"Female",1,"Manager","Married",97130,1,"Y",17,8,0,10,5,10,8,9,3,3,3,2,3,1500.2,6.61,22,315.8,1.39
"69",69,39,"No","Travel_Frequently","Research & Development",19,4,"Medical",1,"Female",1,"Research Scientist","Married",20620,1,"Y",13,8,0,21,4,21,13,3,3,4,3,3,3,1385.2,6.08,21,438.8,1.92
"70",70,39,"Yes","Travel_Rarely","Research & Development",1,1,"Medical",1,"Female",1,"Laboratory Technician","Married",42840,4,"Y",17,8,1,12,0,1,0,0,4,3,2,3,3,2452.7,9.97,3,484.7,1.97
"71",71,33,"No","Travel_Frequently","Sales",4,2,"Life Sciences",1,"Male",4,"Research Scientist","Single",47880,3,"Y",11,8,1,9,0,7,0,1,2,4,2,3,3,1796.2,7.42,7,139.8,0.58
"72",72,47,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",1,"Female",2,"Healthcare Representative","Married",59060,4,"Y",23,8,0,21,4,3,1,1,4,3,3,4,4,1579.2,6.5,6,364.8,1.5
"73",73,43,"No","Travel_Frequently","Research & Development",14,3,"Medical",1,"Female",5,"Research Director","Divorced",38860,1,"Y",17,8,2,9,2,9,0,0,3,3,4,3,3,1480.5,6.3,14,399.5,1.7
"74",74,27,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",1,"Research Director","Married",168230,0,"Y",17,8,0,6,3,5,1,4,3,2,3,3,3,2152.2,9.32,18,304.2,1.32
"75",75,54,"No","Travel_Frequently","Research & Development",1,4,"Life Sciences",1,"Male",2,"Research Scientist","Single",29330,3,"Y",12,8,2,20,2,4,0,3,4,3,2,3,3,1414.4,6.1,17,441.6,1.9
"76",76,43,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",1,"Female",2,"Manager","Married",65000,8,"Y",23,8,0,10,3,1,0,0,3,1,2,3,4,1717.4,7.22,11,186.6,0.78
"77",77,45,"No","Travel_Rarely","Sales",3,1,"Marketing",1,"Female",1,"Sales Executive","Married",171740,9,"Y",14,8,1,12,6,10,9,8,4,4,3,3,3,1717.4,7.1,7,218.6,0.9
"78",78,40,"No","Travel_Rarely","Research & Development",2,4,"Other",1,"Male",4,"Research Scientist","Married",50330,2,"Y",14,8,2,6,6,4,0,2,2,4,2,3,3,2290.5,9.92,18,442.5,1.92
"79",79,29,"Yes","Travel_Rarely","Research & Development",29,3,"Medical",1,"Female",1,"Research Scientist","Married",23070,1,"Y",13,8,1,7,0,7,0,7,2,1,2,3,3,2410.5,10.48,19,570.5,2.48
"80",80,29,"No","Travel_Rarely","Human Resources",8,3,"Medical",1,"Male",3,"Sales Representative","Single",25870,0,"Y",22,8,2,4,3,3,2,2,2,4,3,3,4,1651,6.91,10,261,1.09
"81",81,30,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences",1,"Male",2,"Research Scientist","Divorced",55070,1,"Y",12,8,2,10,2,10,1,2,4,3,3,2,3,1761,7.59,17,95,0.41
"82",82,27,"No","Travel_Rarely","Research & Development",11,2,"Medical",1,"Male",1,"Manager","Married",43930,1,"Y",18,8,1,8,2,8,0,7,2,2,3,2,3,1484,6.08,5,468,1.92
"83",83,37,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",133480,7,"Y",14,8,0,8,4,6,0,4,4,4,2,3,3,1416.4,6,13,471.6,2
"84",84,38,"No","Travel_Rarely","Research & Development",28,4,"Medical",1,"Male",1,"Laboratory Technician","Divorced",65830,0,"Y",12,8,0,12,1,11,2,9,3,4,3,3,3,2174.2,8.98,7,238.2,0.98
"85",85,31,"No","Travel_Rarely","Research & Development",6,3,"Medical",1,"Female",3,"Manager","Single",81030,1,"Y",15,8,1,11,5,11,4,10,3,4,3,3,3,2481,10.42,11,577,2.42
"86",86,29,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",3,"Sales Executive","Divorced",39780,1,"Y",11,8,0,7,0,7,1,7,4,2,3,3,3,2046.2,8.39,5,94.2,0.39
"87",87,35,"No","Travel_Rarely","Sales",16,2,"Technical Degree",1,"Male",3,"Manager","Single",25440,0,"Y",13,8,1,17,3,16,0,13,3,2,3,4,3,1843.1,7.91,16,20.9,0.09
"88",88,23,"No","Travel_Rarely","Research & Development",20,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Divorced",53990,1,"Y",23,8,0,4,2,4,0,2,3,4,2,2,4,1684.2,7.11,12,211.8,0.89
"89",89,41,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Single",54870,6,"Y",19,8,2,8,0,5,1,2,4,2,3,3,3,2315.8,9.69,10,403.8,1.69
"90",90,47,"No","Travel_Frequently","Sales",1,3,"Medical",1,"Female",2,"Laboratory Technician","Single",68340,3,"Y",16,8,1,5,2,0,0,0,2,3,3,4,3,1857.5,7.77,10,54.5,0.23
"91",91,42,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",1,"Manager","Single",10910,2,"Y",22,8,0,16,0,1,0,0,1,4,3,1,4,1489.6,6.29,12,406.4,1.71
"92",92,29,"No","Non-Travel","Sales",22,4,"Marketing",1,"Male",2,"Human Resources","Married",57360,1,"Y",22,8,0,4,1,4,0,2,4,3,2,2,4,1469.1,6.31,16,394.9,1.69
"93",93,42,"No","Travel_Rarely","Sales",7,4,"Medical",1,"Male",3,"Research Scientist","Divorced",22260,0,"Y",12,8,1,4,3,3,1,0,3,3,3,2,3,2013.7,8.83,21,189.7,0.83
"94",94,32,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Male",2,"Research Scientist","Married",57470,1,"Y",13,8,0,8,0,8,0,7,3,2,3,3,3,1783.6,7.72,18,64.4,0.28
"95",95,48,"No","Travel_Rarely","Sales",13,4,"Medical",1,"Male",4,"Sales Executive","Married",98540,3,"Y",16,8,1,15,2,0,0,0,1,3,1,2,3,1705.6,7.32,16,158.4,0.68
"96",96,37,"No","Travel_Rarely","Research & Development",8,5,"Technical Degree",1,"Male",2,"Manufacturing Director","Divorced",54670,4,"Y",12,8,0,13,2,7,6,7,3,1,3,3,3,2667.7,10.8,2,691.7,2.8
"97",97,30,"No","Non-Travel","Sales",25,4,"Other",1,"Male",1,"Healthcare Representative","Married",53800,7,"Y",21,8,1,4,0,2,2,2,4,3,4,3,4,2548.2,10.4,4,588.2,2.4
"98",98,26,"No","Travel_Rarely","Sales",28,3,"Medical",1,"Female",5,"Laboratory Technician","Married",51510,1,"Y",15,8,3,8,3,8,7,7,3,3,3,3,3,1456.9,6,6,487.1,2
"99",99,42,"No","Travel_Rarely","Sales",2,2,"Medical",1,"Female",1,"Laboratory Technician","Single",21330,3,"Y",13,8,2,14,2,1,0,0,1,4,3,3,3,1461.2,6.11,10,450.8,1.89
"100",100,21,"Yes","Travel_Frequently","Research & Development",9,3,"Medical",1,"Female",4,"Manufacturing Director","Single",178750,1,"Y",12,8,0,3,5,3,1,2,1,2,3,2,3,1985.2,8.14,5,33.2,0.14
"101",101,36,"No","Non-Travel","Human Resources",28,3,"Human Resources",1,"Male",2,"Laboratory Technician","Single",24320,4,"Y",22,8,0,7,4,1,0,0,4,4,3,1,4,1695.4,7.31,17,160.6,0.69
"102",102,36,"No","Travel_Frequently","Research & Development",6,3,"Life Sciences",1,"Female",2,"Research Scientist","Married",47710,4,"Y",13,8,1,16,2,13,1,12,1,4,3,3,3,1690.7,7.1,11,213.3,0.9
"103",103,57,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences",1,"Male",5,"Research Scientist","Married",191610,2,"Y",18,8,0,15,2,3,1,2,4,3,3,1,3,1487,6.33,14,393,1.67
"104",104,40,"No","Travel_Rarely","Research & Development",8,3,"Other",1,"Male",2,"Sales Executive","Married",50870,3,"Y",14,8,1,10,3,7,1,7,4,3,3,3,3,1894.2,8.13,16,30.2,0.13
"105",105,21,"No","Non-Travel","Research & Development",1,5,"Life Sciences",1,"Female",2,"Manager","Single",28630,1,"Y",14,8,0,3,2,3,2,2,1,4,2,1,3,1830.1,7.99,20,1.90000000000002,0.01
"106",106,33,"Yes","Travel_Rarely","Human Resources",28,2,"Human Resources",1,"Female",5,"Manager","Single",55610,1,"Y",21,8,1,1,3,1,0,0,4,3,3,1,4,2427.7,10.51,18,579.7,2.51
"107",107,37,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",1,"Male",4,"Research Scientist","Married",21440,6,"Y",19,8,0,17,3,5,0,3,3,1,3,4,3,1846.5,7.99,18,1.5,0.01
"108",108,46,"No","Non-Travel","Sales",2,4,"Marketing",1,"Female",2,"Laboratory Technician","Married",30650,2,"Y",11,8,0,7,3,1,0,0,3,3,4,3,3,1391.6,6.1,21,432.4,1.9
"109",109,41,"Yes","Travel_Frequently","Research & Development",16,1,"Medical",1,"Female",1,"Research Scientist","Single",28100,1,"Y",11,8,0,8,3,8,7,7,1,2,3,4,3,1768.1,7.59,16,95.9,0.41
"110",110,50,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Female",3,"Laboratory Technician","Single",98880,6,"Y",15,8,0,20,2,4,1,3,4,4,3,3,3,1584.4,6.89,19,255.6,1.11
"111",111,40,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Female",1,"Healthcare Representative","Married",86280,2,"Y",20,8,0,8,2,6,1,0,3,3,3,2,4,2175.4,9.3,15,303.4,1.3
"112",112,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",4,"Human Resources","Single",28670,0,"Y",24,8,0,3,5,2,2,2,3,2,3,3,4,2658.5,10.81,3,690.5,2.81
"113",113,21,"Yes","Travel_Rarely","Human Resources",10,2,"Human Resources",1,"Male",1,"Laboratory Technician","Single",53730,1,"Y",12,8,1,1,2,1,0,0,3,2,3,3,3,1378.8,5.99,19,461.2,2.01
"114",114,29,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",2,"Research Director","Single",66670,9,"Y",12,8,1,6,6,3,1,2,4,4,3,4,3,1908,7.79,4,52,0.21
"115",115,35,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences",1,"Female",3,"Sales Executive","Single",50030,9,"Y",15,8,0,10,2,1,0,0,3,2,3,3,3,1821.6,7.72,13,66.4,0.28
"116",116,27,"No","Travel_Rarely","Sales",2,3,"Life Sciences",1,"Male",1,"Sales Executive","Divorced",23670,2.69483033477568,"Y",12,8,1,5,2,5,0,4,4,2,3,3,3,1447.9,6.19,15,424.1,1.81
"117",117,28,"No","Travel_Rarely","Research & Development",2,2,"Medical",1,"Male",3,"Manager","Single",28580,1,"Y",12,8,0,7,2,7,0,7,2,4,3,2,3,1651.5,7.12,17,204.5,0.88
"118",118,49,"No","Travel_Rarely","Sales",2,3,"Technical Degree",1,"Male",2,"Manufacturing Director","Single",52040,8,"Y",14,8,1,26,3,5,0,0,2,3,3,3,3,1878.4,7.83,9,41.6,0.17
"119",119,51,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",41050,4,"Y",22,8,1,18,2,7,0,7,3,4,2,3,4,1738.1,7.62,21,85.9,0.38
"120",120,36,"No","Travel_Rarely","Sales",15,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",96790,4,"Y",12,8,0,6,1,2,2,2,4,3,3,3,3,1404.4,6,15,467.6,2
"121",121,34,"Yes","Non-Travel","Research & Development",7,3,"Life Sciences",1,"Male",1,"Sales Representative","Single",56170,8,"Y",25,8,1,9,3,5,0,4,1,4,2,3,4,2141.9,9.11,14,261.9,1.11
"122",122,55,"No","Travel_Rarely","Sales",26,3,"Marketing",1,"Male",1,"Laboratory Technician","Single",104480,2,"Y",13,8,0,30,3,5,1,2,3,4,3,3,3,2048.9,8.68,13,160.9,0.68
"123",123,24,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",5,"Manager","Divorced",28970,1,"Y",18,8,3,5,4,5,0,3,4,3,4,3,3,2298.8,9.99,19,458.8,1.99
"124",124,30,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",1,"Female",2,"Manager","Married",59680,1,"Y",13,8,0,1,3,1,0,0,3,2,3,3,3,1593.7,6.9,18,254.3,1.1
